T2M,RH2M,WS2M,ALLSKY_SFC_SW_DWN,T2M_MAX,PRECTOTCORR,T2M_MIN
10.07,71.44,2.36,20.96,16.39,0.0,3.43
12.41,72.12,2.82,19.05,17.2,0.01,5.88
13.14,71.0,3.26,21.75,19.12,0.01,7.24
12.29,78.12,2.26,11.26,18.03,0.13,7.15
13.05,79.44,2.31,14.78,18.55,0.55,7.07
14.34,74.19,1.86,25.14,21.12,0.04,7.28
14.66,77.56,1.54,19.9,20.05,0.34,9.07
15.1,79.31,2.65,23.37,20.62,0.13,9.14
17.24,71.75,1.24,25.39,24.03,0.01,8.26
18.76,69.75,2.66,22.83,25.63,0.0,13.39
17.51,70.12,3.21,27.6,24.05,0.0,10.21
15.24,70.19,2.02,20.26,21.08,0.0,9.51
14.23,69.44,1.72,28.35,20.71,0.0,6.75
15.9,67.31,0.98,25.33,22.44,0.0,8.33
19.38,65.62,2.59,23.9,26.23,2.77,11.82
18.73,75.5,2.36,20.9,23.15,1.84,14.58
20.79,68.12,1.79,26.04,27.01,0.03,13.37
21.08,72.25,2.12,25.66,26.79,1.19,13.98
19.7,79.81,2.0,21.45,23.58,3.37,15.9
17.47,81.88,3.16,15.22,23.5,4.34,11.83
17.12,71.44,1.27,26.29,23.3,0.02,10.15
16.79,75.0,1.99,15.42,21.23,1.57,11.87
16.42,85.0,2.85,8.63,19.95,5.61,12.8
13.62,73.94,3.16,20.82,17.98,1.21,9.55
14.84,70.62,2.95,24.59,20.59,0.51,7.47
16.58,76.06,2.81,18.53,22.01,0.13,11.54
15.56,76.31,2.74,14.96,20.97,0.37,9.57
14.2,68.56,2.58,24.77,20.2,0.01,8.06
11.81,67.81,3.17,24.48,16.46,0.04,6.03
12.8,67.69,1.86,24.77,18.44,0.02,7.06
14.06,63.5,1.91,24.18,19.94,0.05,7.52
15.12,64.62,2.03,28.71,21.44,0.0,8.33
16.46,60.75,2.93,26.19,22.89,0.0,8.73
18.01,78.62,1.95,12.29,24.4,7.41,12.37
19.62,85.06,1.93,22.44,25.96,11.23,13.45
17.96,86.44,2.31,14.58,22.29,3.0,12.73
16.59,71.44,2.51,22.49,21.29,0.14,10.87
17.59,76.38,2.96,19.97,21.89,1.55,13.19
16.32,77.88,3.33,15.7,21.51,10.49,12.01
16.52,70.12,2.49,22.69,21.23,0.08,10.07
19.19,72.0,2.41,24.71,24.53,0.01,13.24
19.89,74.25,1.66,27.45,25.41,0.23,13.69
17.43,65.75,2.12,28.7,23.69,0.0,11.08
16.62,68.38,1.89,30.32,22.43,0.01,8.74
17.86,63.38,2.25,28.45,24.13,0.0,9.73
20.91,59.56,1.86,28.1,28.19,0.0,13.15
21.04,62.69,1.77,28.74,27.65,0.0,13.35
24.11,53.25,1.48,27.97,30.55,0.0,14.75
26.12,57.31,1.78,27.66,34.17,0.15,17.94
20.29,78.12,3.73,24.2,26.59,5.73,14.22
17.82,77.62,3.19,16.2,22.94,17.83,13.19
19.25,70.56,2.57,24.39,25.4,1.58,12.26
19.48,76.69,1.91,16.27,24.8,1.7,13.87
21.51,73.44,2.01,22.58,26.53,0.94,16.13
19.71,76.06,3.24,19.84,22.94,7.58,16.63
16.86,83.88,2.21,10.02,20.39,4.65,13.87
16.27,75.31,1.57,15.44,20.94,0.3,12.12
17.51,69.38,2.18,21.95,22.65,0.73,12.8
19.02,63.19,1.49,30.73,25.36,0.0,10.73
19.51,64.31,2.21,28.7,25.58,0.11,11.96
14.61,82.56,1.84,6.44,17.28,9.94,10.9
16.22,68.44,1.96,23.62,21.81,0.23,8.76
19.15,58.5,1.7,30.44,25.02,0.0,11.67
18.05,69.06,2.11,27.98,24.16,0.0,10.65
18.37,65.69,1.6,29.88,24.95,0.0,11.41
18.23,66.12,2.26,29.8,25.16,0.01,9.59
18.64,68.25,1.94,27.54,24.77,0.0,10.9
18.46,72.0,3.06,16.77,23.24,0.05,12.44
18.44,67.75,2.08,29.94,25.64,0.0,9.63
20.91,64.81,2.43,28.01,28.11,0.0,14.64
19.26,63.75,3.23,29.44,25.61,0.0,12.05
21.95,62.31,2.59,29.64,28.6,0.0,14.08
23.1,53.5,1.52,28.71,30.48,0.0,14.62
25.31,53.81,1.85,24.27,33.83,0.0,16.93
23.4,61.38,2.9,26.32,29.99,0.0,16.35
19.84,55.19,2.7,28.97,25.9,0.0,13.42
20.91,56.38,2.23,28.56,27.9,0.0,12.69
22.52,48.88,2.41,26.52,30.26,0.0,14.0
26.52,40.94,1.68,26.99,35.35,0.0,17.05
28.47,44.25,3.34,27.27,38.21,0.05,19.07
21.33,73.88,2.23,9.96,24.2,8.49,17.24
21.74,71.5,1.95,19.38,27.72,0.33,14.8
20.93,75.06,1.48,12.61,26.51,3.29,15.57
22.26,70.38,1.48,19.06,27.61,0.58,17.07
24.87,59.62,2.03,27.46,31.88,0.0,16.49
22.51,60.31,3.38,20.71,27.52,0.0,17.01
19.56,66.88,2.43,15.15,23.87,0.15,14.77
19.1,60.0,2.57,22.44,24.47,0.01,13.56
19.54,53.62,1.61,19.35,25.55,0.0,13.02
21.31,58.88,1.49,22.14,28.28,0.34,15.05
22.8,58.75,1.76,21.62,29.7,0.0,16.01
22.77,67.12,2.3,26.27,29.36,0.0,16.14
22.33,68.5,1.59,16.86,28.15,0.05,16.2
24.44,58.25,0.95,24.77,31.08,0.0,16.91
27.11,47.25,1.27,26.06,34.29,0.0,18.75
23.69,66.44,2.29,18.39,29.96,5.08,18.17
20.48,62.75,3.12,21.74,26.44,1.13,14.44
18.14,51.88,3.63,27.28,24.33,0.0,11.08
19.51,52.0,3.74,26.71,26.36,0.0,11.69
20.6,53.12,3.88,25.66,27.75,0.0,12.69
22.08,55.19,3.78,25.54,29.88,0.0,13.53
23.83,51.19,3.16,25.27,32.02,0.0,15.13
24.27,42.12,2.84,25.33,32.19,0.0,15.92
25.01,39.75,2.48,25.13,33.51,0.0,16.14
24.79,38.0,2.41,25.7,32.72,0.0,16.6
21.72,63.56,1.92,12.19,28.07,3.07,17.02
21.15,72.25,2.07,12.89,26.41,1.8,16.41
21.12,72.75,1.35,13.96,25.15,8.74,16.57
20.78,72.31,1.17,15.4,24.55,2.17,16.58
22.06,65.06,1.57,17.68,28.36,0.15,15.95
20.59,78.69,2.46,12.25,26.65,1.76,15.01
19.69,61.94,1.6,23.8,25.95,0.07,12.17
20.51,56.25,1.19,16.66,26.4,0.01,12.96
21.31,64.75,1.33,14.01,26.96,0.03,14.58
23.8,67.12,1.27,17.16,28.91,0.36,17.3
25.75,54.94,1.15,21.81,32.29,0.0,18.83
24.37,56.19,2.59,19.53,32.15,0.12,18.53
21.87,65.94,2.62,14.26,27.49,0.1,17.06
19.57,62.44,2.6,18.85,25.73,0.0,13.8
19.96,62.75,2.9,17.46,26.78,0.0,12.88
21.56,53.06,3.32,19.94,29.2,0.0,14.9
20.19,62.56,1.91,10.0,27.01,0.52,14.68
20.81,63.75,2.36,19.19,27.44,0.0,14.05
22.21,58.44,2.46,17.3,28.71,0.04,16.4
20.47,66.69,1.69,11.98,25.99,3.75,16.46
20.23,71.69,1.9,13.65,25.37,0.95,16.0
21.49,58.25,1.95,18.05,28.8,0.1,13.8
23.33,60.0,1.84,17.28,30.57,2.83,16.24
20.47,74.06,1.79,17.93,27.7,9.96,14.94
18.27,80.94,2.68,11.82,23.26,5.1,14.51
17.73,76.94,3.86,13.35,22.47,3.5,13.6
16.8,79.06,4.43,11.65,21.16,4.87,13.27
16.63,84.06,3.01,8.68,20.96,4.41,12.62
17.76,74.5,0.99,15.31,24.2,0.17,12.09
19.72,65.12,1.97,18.11,27.36,0.14,12.09
21.59,69.19,1.51,8.73,27.44,1.36,17.05
21.31,82.5,2.0,12.56,26.62,3.07,17.54
17.92,73.06,2.52,12.71,23.14,0.31,12.87
14.02,71.12,2.52,10.08,18.29,0.26,9.84
11.9,66.38,3.1,15.49,18.13,0.01,7.12
12.61,70.62,2.78,16.48,20.13,0.0,5.89
12.9,70.06,2.05,14.31,19.46,0.01,6.92
12.76,74.75,1.62,11.47,18.7,0.01,6.93
12.94,69.81,1.83,16.61,20.01,0.03,7.37
13.9,58.19,1.14,16.88,21.17,0.0,5.72
15.09,59.62,1.14,10.28,20.13,0.1,10.17
14.57,80.69,1.22,7.78,17.74,3.34,11.87
13.42,74.94,2.93,11.29,18.88,0.3,8.97
12.24,79.38,4.22,6.95,16.46,7.82,9.02
12.24,81.38,3.66,8.74,16.54,2.93,8.65
11.56,77.25,1.87,9.6,16.46,0.65,7.6
10.79,75.5,0.9,8.05,15.42,1.45,6.92
12.13,70.25,2.65,13.92,18.57,3.43,5.76
16.19,77.5,4.8,9.1,20.69,5.21,11.44
14.79,91.0,2.77,7.56,19.12,8.58,8.94
11.65,80.06,1.46,8.98,18.14,0.12,7.37
12.27,77.81,2.08,13.23,20.19,0.07,6.08
15.31,76.62,4.24,13.13,22.23,0.42,8.75
13.73,70.88,1.4,14.82,19.29,0.04,8.01
11.98,67.75,1.52,13.23,19.48,0.01,5.34
11.9,75.19,1.96,13.35,18.54,0.13,6.93
11.15,75.56,2.24,14.54,19.65,0.0,4.15
13.47,84.88,2.78,7.17,20.73,0.15,7.66
11.05,71.94,2.38,11.26,17.97,0.0,6.8
12.58,79.56,1.41,11.35,19.64,0.03,6.68
13.73,85.81,3.26,5.45,17.21,3.36,10.67
14.95,92.94,2.51,3.61,17.73,4.74,12.84
16.27,81.38,3.69,6.61,20.72,2.51,13.2
16.67,84.88,2.52,7.67,21.97,2.52,12.59
16.83,92.69,2.62,3.4,18.73,7.72,15.2
16.75,89.19,1.75,6.53,21.56,1.95,13.69
16.99,84.81,3.99,10.36,23.03,0.23,13.14
17.34,86.69,3.44,9.7,22.31,9.94,14.5
16.44,85.44,3.77,8.79,21.15,5.2,13.14
15.65,83.44,2.91,10.57,21.31,0.07,10.94
17.94,72.88,5.02,5.77,23.36,0.44,14.48
15.62,78.44,5.35,7.34,19.06,0.82,12.35
14.94,82.81,3.15,8.04,19.64,1.26,11.2
16.19,84.62,3.47,10.34,22.0,0.03,12.13
17.59,80.25,3.84,6.91,24.15,0.12,13.12
17.76,82.31,3.02,7.08,22.9,0.01,14.91
17.58,77.12,3.12,6.83,22.41,0.0,14.87
14.87,91.38,1.53,6.95,19.24,0.6,12.55
16.12,86.75,3.18,7.81,21.23,3.92,12.41
13.67,75.25,5.55,9.08,17.59,0.19,9.37
11.7,81.81,3.72,8.15,15.7,0.13,8.18
10.84,89.25,4.41,2.18,15.14,4.79,7.78
8.9,87.38,3.29,5.11,13.01,2.26,3.9
8.02,85.31,2.98,5.18,12.66,0.08,3.87
7.65,87.88,4.3,1.93,10.14,6.05,5.08
11.9,88.88,4.81,4.75,16.95,0.25,9.03
12.19,87.5,4.92,5.05,15.96,0.33,8.78
11.13,89.62,3.55,5.87,15.37,0.36,6.86
8.69,92.19,2.48,4.94,14.11,0.07,6.62
8.12,93.5,2.39,5.3,12.47,0.09,6.06
9.76,93.44,2.01,7.12,16.15,0.15,7.15
8.22,87.12,1.79,6.17,15.48,0.05,3.08
8.4,93.75,2.31,5.48,15.16,0.11,2.86
9.21,95.5,4.11,2.17,12.71,5.39,6.8
10.26,91.62,5.61,3.74,13.31,7.35,7.21
10.98,85.19,5.67,4.52,13.75,3.15,8.14
8.44,92.31,3.3,4.21,11.9,1.06,5.18
7.23,91.38,1.94,4.49,11.51,0.77,4.83
5.8,92.06,3.65,3.02,9.74,2.11,2.4
5.68,92.81,4.22,2.0,7.22,3.31,2.99
7.22,86.69,5.59,4.38,10.55,3.8,3.0
7.51,91.56,4.79,3.45,12.41,7.43,3.87
8.98,91.75,4.66,5.77,12.08,1.2,7.19
7.21,94.88,2.65,5.03,11.94,0.9,3.01
5.62,92.38,2.94,2.88,9.08,0.04,2.49
5.82,83.06,3.8,2.47,8.37,7.67,3.3
7.2,95.5,2.15,3.78,9.83,2.34,5.71
6.71,93.69,0.55,3.08,8.58,0.19,5.33
4.95,94.06,2.18,2.45,6.59,0.11,3.57
4.48,90.25,3.13,2.36,7.9,0.15,2.8
3.13,91.31,3.12,1.63,5.76,0.93,1.37
1.07,91.56,3.3,1.81,5.18,0.17,-1.04
1.15,89.88,2.69,1.66,3.3,1.52,-0.78
1.0,91.69,1.08,1.48,3.37,1.87,-1.07
1.44,96.94,1.04,1.7,4.52,0.15,-1.61
3.07,95.75,1.1,2.98,5.48,0.29,1.3
1.61,94.19,1.01,2.13,3.63,0.39,-0.35
-0.22,94.88,1.46,3.71,2.9,0.18,-1.71
-1.1,91.5,1.23,3.48,3.88,0.06,-3.77
-2.72,92.25,2.42,2.55,0.94,0.05,-4.53
-2.52,83.06,2.91,3.25,0.92,0.42,-4.27
-2.83,79.31,3.2,4.93,0.5,0.0,-4.42
-1.46,85.69,1.93,2.83,1.06,1.34,-3.38
-3.04,89.56,3.17,4.19,1.37,0.03,-5.92
-2.3,95.94,2.12,4.24,2.36,0.09,-4.52
-5.17,93.56,1.7,3.53,-0.46,0.07,-7.48
-2.97,91.12,3.88,2.67,4.23,6.3,-8.17
5.04,99.06,4.61,2.3,7.48,1.84,3.24
7.51,98.62,3.98,1.5,9.97,9.11,5.15
8.47,97.12,3.73,2.58,10.74,6.31,5.44
10.73,94.62,5.17,1.73,11.73,9.25,9.99
11.62,94.31,4.7,1.73,14.56,5.13,9.65
9.16,96.44,3.07,2.22,11.31,0.61,7.98
9.74,93.81,3.62,2.49,12.7,2.38,7.61
7.48,90.19,3.87,2.29,11.33,1.21,2.95
5.01,91.06,3.51,4.54,8.94,0.13,2.75
9.36,92.06,6.87,2.51,10.98,3.39,7.03
8.47,87.75,5.29,3.6,11.33,1.78,4.75
9.87,93.81,6.68,1.42,14.07,4.51,4.73
12.98,82.19,7.13,3.08,15.65,0.58,10.84
10.98,88.62,4.48,1.0,12.68,4.52,9.95
8.74,91.75,3.14,2.58,11.68,5.81,4.61
6.4,95.0,4.24,2.77,7.61,1.36,5.26
10.73,93.25,6.18,1.28,12.95,2.07,8.12
11.13,93.19,3.7,2.29,13.73,0.87,9.3
9.69,92.5,4.21,2.87,12.33,0.22,7.8
7.5,87.94,5.33,3.49,10.27,1.09,4.63
7.94,92.06,5.05,3.9,10.43,4.04,5.37
5.84,91.75,5.52,2.88,8.15,2.4,2.93
6.63,95.75,5.18,1.58,10.93,3.45,3.05
9.29,87.31,5.34,4.66,11.21,3.66,7.12
9.4,91.19,6.92,2.17,11.14,1.99,7.25
7.88,87.19,5.09,4.57,10.78,1.12,5.43
9.14,92.88,6.72,1.2,12.04,12.42,5.39
6.13,86.25,6.1,5.13,8.49,2.09,4.36
4.11,91.44,6.1,2.26,6.12,9.07,0.39
1.21,92.31,2.62,1.83,4.87,0.97,-1.38
0.11,92.56,2.17,6.45,4.67,0.23,-4.13
0.56,95.69,1.73,2.16,3.49,0.65,-1.6
1.83,91.81,2.97,3.24,5.93,0.52,-2.2
-0.1,88.25,4.08,4.79,4.01,0.12,-2.99
-1.09,86.75,3.07,2.73,2.53,0.06,-3.09
-0.56,91.88,3.33,2.18,3.49,0.06,-2.45
0.08,92.44,2.87,2.1,4.17,0.07,-2.48
-0.2,92.75,1.52,1.87,2.44,0.16,-1.93
1.29,94.5,2.41,2.45,3.87,0.62,-1.22
2.98,89.38,4.23,2.17,5.76,0.14,1.01
0.35,88.5,2.87,3.57,4.37,0.05,-3.35
0.9,86.88,1.68,6.21,5.1,0.08,-2.96
3.28,93.69,3.16,2.93,8.86,0.47,-0.27
3.59,93.56,3.32,4.88,7.43,0.19,-1.38
6.06,87.06,4.13,4.43,9.59,0.06,3.97
6.43,87.19,3.76,3.13,11.19,0.1,3.56
6.89,94.81,3.55,3.54,10.02,0.31,4.54
7.43,90.44,1.93,3.39,11.66,0.32,4.99
5.15,85.44,3.59,5.94,9.46,0.23,1.9
2.57,86.31,3.39,9.1,7.64,0.1,-1.03
0.54,83.81,2.82,9.58,6.3,0.04,-3.76
-0.97,78.0,1.92,9.97,6.37,0.0,-4.49
1.01,70.31,0.93,8.96,6.67,0.01,-4.3
3.19,88.81,1.69,6.21,9.04,0.1,0.08
3.49,93.75,1.02,8.86,8.72,0.07,-0.14
4.5,89.44,2.07,5.32,9.94,0.06,0.63
4.37,86.75,1.98,10.13,11.49,0.06,0.76
4.41,87.19,1.47,10.53,12.9,0.0,-0.93
4.74,88.75,2.02,8.22,11.9,0.03,0.12
7.47,88.12,3.74,7.2,12.7,0.24,2.47
11.39,90.12,4.12,3.29,16.63,0.23,8.49
9.84,86.38,4.51,4.71,12.65,0.29,8.4
9.19,83.44,2.86,6.19,13.72,0.13,4.3
6.65,86.94,1.78,11.69,12.37,0.03,2.99
7.2,85.56,1.5,10.94,14.28,0.07,2.59
7.86,94.94,1.95,2.23,11.29,0.82,5.92
7.3,92.19,2.25,5.85,10.81,0.48,5.71
6.3,84.5,2.76,5.55,11.34,0.07,3.47
4.29,77.75,4.01,8.05,8.55,0.08,-0.41
0.34,70.06,5.46,11.78,4.77,0.0,-3.27
0.4,71.56,4.91,13.9,6.61,0.0,-4.11
-0.0,76.06,3.56,11.37,5.24,0.0,-3.38
0.57,79.0,3.22,13.03,7.38,0.0,-3.84
2.25,83.19,2.49,12.37,9.92,0.0,-3.52
2.23,81.88,2.99,13.06,9.37,0.05,-1.49
3.14,83.56,2.7,7.12,8.78,0.08,-1.4
4.37,80.19,1.31,4.44,8.83,0.34,1.03
4.45,79.44,2.41,5.83,8.48,0.17,-0.24
4.51,82.38,3.95,8.82,8.24,3.91,0.62
9.96,86.31,6.16,5.38,15.86,11.2,3.79
11.25,85.5,6.61,7.56,14.23,8.44,8.57
6.7,81.56,6.55,5.5,10.36,5.43,1.74
4.94,74.25,1.84,10.58,9.55,0.73,-0.9
11.05,82.25,4.92,9.65,15.2,2.08,7.47
13.02,80.5,7.16,4.71,17.46,0.94,9.64
7.58,76.88,5.23,10.63,10.8,2.98,1.96
6.13,78.06,1.84,13.47,11.46,0.07,1.68
8.86,68.56,4.01,13.31,15.8,0.0,2.29
10.76,84.12,3.43,9.44,14.1,0.63,7.92
10.8,84.38,3.88,13.57,16.15,2.64,7.41
8.74,84.62,2.41,7.29,12.62,2.51,4.56
8.2,80.5,2.41,13.18,14.98,0.15,1.26
10.64,82.19,3.47,10.07,15.85,0.33,6.76
10.05,85.44,5.4,8.12,13.31,1.33,6.15
12.6,82.44,5.96,10.04,15.53,4.76,9.68
11.73,75.94,6.45,15.12,15.82,2.12,7.49
10.25,76.88,5.71,12.49,13.76,0.65,7.67
8.6,82.44,5.16,10.69,11.01,6.18,3.86
5.11,71.81,2.62,13.47,10.8,0.08,0.69
6.55,66.75,3.12,10.4,12.19,0.2,0.13
12.44,80.62,3.46,12.7,16.95,0.19,7.9
12.94,79.0,5.42,13.9,16.7,4.89,10.37
11.91,75.44,8.27,11.38,14.3,2.74,9.64
10.37,81.69,5.87,12.8,13.58,4.62,7.26
8.13,81.81,4.43,3.79,11.82,0.6,4.77
6.84,70.12,3.59,18.8,12.68,0.03,1.73
4.7,67.5,2.55,22.35,11.94,0.0,-2.06
7.9,63.06,0.88,21.88,14.76,0.0,-0.09
8.69,81.25,2.69,8.85,14.33,1.28,4.53
8.49,79.0,2.52,15.35,13.7,0.2,3.99
8.25,79.12,2.05,19.94,15.28,0.03,3.25
10.68,75.69,1.88,20.47,17.75,0.02,3.23
11.69,79.5,3.98,9.11,17.3,6.08,7.04
9.78,81.31,4.32,12.82,13.77,8.73,7.5
9.91,69.94,6.09,16.31,12.72,8.02,7.42
8.67,73.56,3.98,18.73,12.05,1.31,5.8
7.05,86.62,3.4,8.53,9.26,2.83,4.06
8.75,84.25,3.02,9.67,13.6,7.68,3.73
8.9,74.88,2.95,16.69,15.85,0.04,3.55
9.37,82.0,3.12,11.73,14.82,0.11,4.2
10.76,75.88,3.88,16.91,16.05,0.19,5.4
12.23,75.25,3.84,21.58,18.21,0.09,6.54
7.49,75.0,3.34,16.56,12.55,0.27,3.0
8.51,74.19,1.36,16.97,14.76,0.39,2.77
10.57,86.0,2.63,10.25,15.21,5.84,5.55
9.83,87.81,3.99,9.12,14.14,5.42,6.82
10.29,80.88,3.09,12.33,13.98,3.6,6.9
8.26,78.06,2.29,11.97,13.05,0.62,4.84
9.48,70.5,1.75,15.63,15.19,0.19,2.64
12.69,75.69,2.33,18.02,17.8,3.52,6.52
15.73,84.44,3.33,14.49,21.23,5.25,9.69
12.04,78.81,2.15,10.85,17.44,0.04,7.26
12.69,73.94,1.65,16.94,17.37,0.02,6.72
12.12,80.25,2.28,16.05,16.03,3.07,7.29
12.4,77.31,1.92,21.08,18.44,0.11,6.26
12.94,70.25,3.26,26.61,20.05,0.0,4.8
15.28,76.94,3.27,20.12,22.61,0.54,7.96
14.26,82.25,2.41,16.1,19.45,3.88,9.02
15.33,83.75,1.53,17.93,20.48,4.07,9.84
15.0,88.25,1.57,11.68,18.97,15.06,10.57
14.77,83.25,1.51,14.86,20.2,0.22,9.0
13.7,89.88,2.8,8.38,17.06,15.0,12.09
12.83,85.38,3.17,12.62,16.09,7.1,9.9
12.18,81.38,1.66,14.7,15.84,1.15,7.32
12.33,85.69,3.04,11.43,15.46,1.46,9.02
14.65,79.19,3.33,20.46,20.66,1.35,9.03
13.24,80.38,2.55,13.28,19.47,0.52,7.73
11.69,83.56,2.56,13.46,17.84,1.91,6.89
11.03,70.44,3.89,24.77,16.55,0.0,5.22
11.83,73.44,3.27,22.57,17.33,0.02,4.98
11.79,69.94,3.0,23.18,17.88,0.0,6.25
13.24,69.94,3.38,25.5,19.69,0.0,5.91
15.15,73.25,3.84,19.68,20.36,0.02,8.12
16.55,77.44,3.61,22.16,22.13,0.03,11.37
16.17,78.0,2.95,19.67,22.36,0.03,10.32
14.22,71.94,4.0,10.69,20.0,0.05,8.47
13.45,66.5,3.68,27.85,19.37,0.0,6.15
15.05,68.94,3.91,28.69,21.22,0.02,8.85
15.68,71.06,3.55,28.55,22.3,0.03,8.84
16.81,71.31,2.88,27.01,23.85,0.0,8.87
18.31,68.25,3.45,27.5,25.04,0.04,11.03
17.22,69.75,4.93,28.8,23.61,0.01,10.82
16.06,62.44,4.66,26.84,22.19,0.0,9.3
18.3,67.12,4.01,29.06,25.13,0.02,10.72
18.64,70.69,3.85,29.16,25.81,0.05,11.73
14.62,68.0,3.94,26.92,20.74,0.02,8.53
17.15,66.88,3.51,28.73,23.6,0.03,9.46
18.03,59.0,3.79,28.79,24.61,0.0,10.35
18.23,64.81,3.64,28.09,25.19,0.03,10.59
18.65,66.44,3.31,27.01,26.15,0.02,10.5
19.85,67.88,3.21,25.97,26.83,0.05,12.28
20.68,69.31,2.72,27.62,26.61,0.06,13.33
22.41,62.88,2.94,24.51,29.13,0.19,14.67
23.19,66.88,1.46,21.43,28.26,1.28,16.97
22.53,70.38,1.18,18.2,27.55,4.79,17.76
21.9,70.25,1.92,22.71,28.44,1.86,15.9
22.01,58.31,2.32,28.94,28.22,0.03,15.88
21.09,54.06,1.92,29.61,28.08,0.0,12.69
21.05,57.62,1.72,26.91,27.48,0.0,13.31
22.18,53.19,1.27,25.21,28.46,0.0,14.0
22.99,59.38,1.74,18.86,28.23,0.82,17.3
21.69,79.31,2.82,17.67,25.83,13.72,16.19
20.0,79.19,1.49,15.38,25.31,7.32,14.58
20.98,83.44,2.29,16.01,25.99,1.48,16.69
22.1,71.38,1.25,21.82,27.65,0.38,16.5
18.86,84.12,2.98,10.15,22.33,10.32,14.65
20.93,68.88,1.38,26.77,26.94,0.11,12.69
22.01,65.94,1.04,29.29,28.3,0.0,14.27
24.02,61.81,2.55,30.2,30.9,0.0,15.69
19.3,63.25,2.89,24.62,24.06,0.0,15.06
19.2,65.0,1.56,23.59,24.87,0.0,12.58
20.92,63.25,0.77,22.75,26.82,0.0,14.22
20.69,72.12,1.87,12.1,26.11,1.17,16.01
19.06,61.0,2.71,22.14,24.26,0.15,12.86
19.23,70.94,4.1,17.13,23.97,3.22,14.55
18.88,61.94,3.45,22.19,24.46,0.02,12.42
18.84,63.62,3.02,21.02,24.65,0.49,13.26
18.68,71.38,2.88,19.36,22.69,5.0,13.82
16.72,69.88,4.01,20.69,21.6,3.79,11.65
19.44,57.38,0.98,27.36,25.77,0.0,12.12
23.14,55.31,2.23,23.15,30.51,0.04,13.84
25.26,64.06,1.94,26.61,31.28,0.39,18.15
21.57,82.75,1.75,16.11,24.74,6.51,18.1
22.33,62.81,1.68,25.47,27.17,0.06,16.94
23.54,56.69,2.61,24.89,30.25,0.08,15.99
20.05,62.56,3.05,23.5,25.12,0.46,14.83
19.36,63.81,2.2,19.2,24.48,0.34,13.08
22.29,53.62,3.25,25.47,29.57,0.01,14.2
21.42,60.94,4.72,13.46,26.04,1.06,16.18
19.65,58.56,4.09,23.08,24.9,0.15,14.33
19.1,60.56,2.56,24.39,25.07,0.26,12.48
21.69,56.31,1.23,24.08,28.77,0.0,12.82
20.33,61.0,3.0,21.69,25.73,0.0,14.87
19.54,65.25,1.48,22.38,25.73,0.32,12.37
18.9,60.19,2.45,19.84,25.04,0.82,13.63
19.52,54.19,3.03,22.89,25.29,0.0,12.6
19.13,71.88,4.26,13.01,23.62,3.85,15.52
19.53,74.12,3.21,16.59,24.01,10.9,15.45
16.51,72.94,2.8,13.39,20.6,8.79,11.91
17.9,67.88,2.49,21.23,23.2,0.43,10.55
19.97,78.25,4.1,13.01,24.26,5.59,15.87
20.6,84.56,3.13,10.64,25.8,13.19,17.31
20.01,78.31,3.18,15.93,25.49,6.46,14.92
19.3,68.31,3.35,19.52,24.7,0.5,14.68
19.04,77.94,5.3,12.28,22.87,12.81,15.11
18.94,77.69,4.34,17.72,22.26,6.37,14.98
19.57,76.5,7.36,17.03,23.71,15.4,15.98
16.9,85.81,3.68,10.92,20.28,8.41,13.69
17.13,78.75,1.83,17.08,21.66,1.39,12.37
15.9,79.5,4.62,11.37,20.3,2.23,10.81
16.12,69.5,4.82,17.89,21.02,0.61,12.3
16.85,71.69,2.31,20.18,22.52,0.07,10.4
17.8,71.69,2.22,18.42,23.75,0.01,11.42
19.44,77.5,1.85,14.98,24.27,0.25,14.07
21.14,69.44,1.51,19.13,27.12,0.01,13.68
22.25,76.75,1.91,19.06,27.33,7.68,16.58
21.19,76.19,2.48,16.26,26.06,5.79,15.94
19.25,67.19,2.05,19.14,24.8,0.03,14.57
21.26,68.06,2.52,15.92,28.42,0.64,15.05
20.93,73.81,1.95,16.48,26.14,0.42,16.12
20.74,72.19,2.16,15.46,26.93,0.02,14.61
22.06,75.75,2.3,21.31,28.19,0.26,17.9
24.07,70.94,2.26,15.54,31.69,0.81,16.91
23.52,70.88,2.27,12.73,27.92,0.35,20.05
23.71,67.12,1.62,22.12,30.05,0.03,18.09
21.86,65.88,1.65,23.57,28.75,0.01,15.19
23.62,63.38,1.47,21.54,30.71,0.0,16.09
24.41,64.56,1.55,18.81,31.83,0.01,16.31
22.15,75.44,2.36,8.56,25.54,8.33,19.7
20.3,75.06,2.48,8.91,24.73,0.62,14.08
17.5,68.5,2.63,17.57,22.83,0.74,12.15
16.41,72.75,2.58,17.9,22.21,0.46,11.18
16.39,73.5,2.11,13.86,22.08,0.57,10.94
16.6,70.88,1.31,15.11,21.81,0.1,10.17
15.96,70.94,2.78,12.55,21.09,0.49,11.52
15.9,81.0,2.56,9.48,20.33,5.25,11.05
19.16,81.88,3.07,12.16,24.01,2.96,15.65
21.34,71.19,1.8,19.89,28.84,0.09,15.3
22.8,69.62,2.73,19.27,30.4,0.02,16.21
22.06,61.69,3.09,20.19,30.07,0.01,14.9
24.62,57.25,2.03,19.18,32.96,0.0,15.44
24.09,57.56,1.67,20.59,32.57,0.0,17.6
23.51,57.06,1.44,20.47,32.19,0.01,14.16
